Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,Haven,100 Thieves,5,2,3,0,6,4,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,Haven,Sentinels,6,4,3,0,5,2,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,Split,100 Thieves,12,0,4,1,13,3,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,Split,Sentinels,13,3,1,2,12,0,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,Bind,LEVIATÁN,13,0,0,0,2,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,Bind,ENVY,2,0,2,0,13,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,Fracture,LEVIATÁN,11,1,1,0,4,0,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,Fracture,ENVY,4,0,0,0,11,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Haven,G2 Esports,8,1,3,1,6,2,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Haven,LOUD,6,2,1,0,8,1,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,10,0,3,0,7,0,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,LOUD,7,0,1,2,10,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,3,0,1,0,7,0,5,1
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,KRÜ Esports,7,0,5,1,3,0,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,9,0,1,0,8,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,KRÜ Esports,8,1,4,0,9,0,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,7,2,0,0,8,3,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,100 Thieves,8,3,2,0,7,2,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,7,3,3,0,7,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,100 Thieves,7,1,2,0,7,3,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,9,3,1,0,2,0,0,0
