Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Haven,Mega Minors,9,0,4,0,8,0,1,1
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Ascent,G2 Esports,8,1,4,0,3,1,6,0
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Ascent,Mega Minors,3,1,6,0,8,1,4,0
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Fracture,LEVIATÁN,6,2,4,0,8,2,3,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Fracture,G2 Esports,8,2,3,1,6,2,4,0
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Haven,LEVIATÁN,8,0,5,0,5,3,3,0
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Haven,G2 Esports,5,3,3,0,8,0,5,0
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Ascent,LEVIATÁN,10,0,2,1,5,1,3,0
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Ascent,G2 Esports,5,1,3,0,10,0,2,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Pearl,LEVIATÁN,5,1,4,0,3,1,6,3
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Pearl,G2 Esports,3,1,6,3,5,1,4,0
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Split,LEVIATÁN,4,1,5,1,7,2,3,1
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Split,G2 Esports,7,2,3,1,4,1,5,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Breeze,FNATIC,10,2,2,0,10,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Breeze,Eternal Fire,10,0,1,1,10,2,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Bind,FNATIC,9,1,5,0,13,1,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Bind,Eternal Fire,13,1,3,0,9,1,5,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Lotus,FNATIC,9,0,4,0,2,0,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Lotus,Eternal Fire,2,0,0,0,9,0,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Karmine Corp,Haven,Team Liquid,7,1,4,1,5,1,3,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Karmine Corp,Haven,Karmine Corp,5,1,3,1,7,1,4,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Karmine Corp,Pearl,Team Liquid,10,3,0,0,4,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Karmine Corp,Pearl,Karmine Corp,4,2,1,0,10,3,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Haven,Team Vitality,7,4,2,0,5,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Haven,GIANTX,5,2,1,0,7,4,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Pearl,Team Vitality,8,2,3,0,2,1,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Pearl,GIANTX,2,1,0,0,8,2,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Pearl,Gentle Mates,7,2,4,0,7,2,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Pearl,FUT Esports,7,2,0,1,7,2,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Bind,Gentle Mates,3,4,1,0,7,2,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Bind,FUT Esports,7,2,4,0,3,4,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Haven,Gentle Mates,4,1,1,0,7,2,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Haven,FUT Esports,7,2,4,0,4,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Pearl,Team Heretics,8,1,3,1,4,2,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Pearl,Natus Vincere,4,2,2,1,8,1,3,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Lotus,Team Heretics,5,2,2,0,10,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Lotus,Natus Vincere,10,1,2,0,5,2,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Bind,Team Heretics,4,1,3,1,6,3,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Bind,Natus Vincere,6,3,4,0,4,1,3,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,Split,BBL Esports,6,2,4,1,6,1,3,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,Split,PCIFIC Esports,6,1,3,1,6,2,4,1
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,Breeze,BBL Esports,8,2,1,2,5,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs PCIFIC Esports,Breeze,PCIFIC Esports,5,1,2,0,8,2,1,2
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Haven,PCIFIC Esports,4,1,3,0,6,2,5,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Haven,GIANTX,6,2,5,0,4,1,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Pearl,PCIFIC Esports,8,1,3,2,5,0,6,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Pearl,GIANTX,5,0,6,1,8,1,3,2
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Split,PCIFIC Esports,8,0,1,1,3,3,6,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,PCIFIC Esports vs GIANTX,Split,GIANTX,3,3,6,1,8,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,Pearl,BBL Esports,3,1,2,0,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,Pearl,Eternal Fire,11,0,2,0,3,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,Split,BBL Esports,5,1,4,0,8,0,5,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,BBL Esports vs Eternal Fire,Split,Eternal Fire,8,0,5,0,5,1,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,Split,FNATIC,9,1,2,1,8,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,Split,Team Vitality,8,1,2,0,9,1,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,Breeze,FNATIC,8,1,4,0,7,0,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FNATIC vs Team Vitality,Breeze,Team Vitality,7,0,3,0,8,1,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Pearl,Team Liquid,9,1,2,1,4,4,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Pearl,Team Heretics,4,4,2,0,9,1,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Bind,Team Liquid,11,0,2,0,3,2,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs Team Heretics,Bind,Team Heretics,3,2,2,1,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Fracture,FUT Esports,4,2,1,2,8,2,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Fracture,Natus Vincere,8,2,2,1,4,2,1,2
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Bind,FUT Esports,10,0,3,0,3,1,5,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Bind,Natus Vincere,3,1,5,0,10,0,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Split,FUT Esports,8,2,3,0,3,0,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Natus Vincere,Split,Natus Vincere,3,0,2,1,8,2,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Fracture,Gentle Mates,5,3,4,1,6,1,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Fracture,Karmine Corp,6,1,1,1,5,3,4,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Haven,Gentle Mates,6,0,2,1,11,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Haven,Karmine Corp,11,1,1,0,6,0,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Pearl,Gentle Mates,8,3,2,0,4,2,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Gentle Mates vs Karmine Corp,Pearl,Karmine Corp,4,2,2,1,8,3,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Haven,BBL Esports,7,1,2,1,9,3,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Haven,GIANTX,9,3,0,1,7,1,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Lotus,BBL Esports,8,2,2,1,4,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Lotus,GIANTX,4,2,1,0,8,2,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Split,BBL Esports,7,0,1,1,8,0,5,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,BBL Esports vs GIANTX,Split,GIANTX,8,0,5,0,7,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Pearl,Gentle Mates,7,1,4,1,6,0,2,2
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Pearl,Natus Vincere,6,0,2,2,7,1,4,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Lotus,Gentle Mates,5,4,4,0,3,1,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Gentle Mates vs Natus Vincere,Lotus,Natus Vincere,3,1,4,0,5,4,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Bind,Eternal Fire,8,4,1,0,9,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Bind,Team Vitality,9,1,1,0,8,4,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Lotus,Eternal Fire,11,0,2,0,4,2,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Eternal Fire vs Team Vitality,Lotus,Team Vitality,4,2,0,0,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Haven,Karmine Corp,11,0,2,0,2,1,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Haven,Team Heretics,2,1,3,0,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Lotus,Karmine Corp,2,0,0,0,10,0,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Lotus,Team Heretics,10,0,2,1,2,0,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Fracture,Karmine Corp,5,2,0,0,10,0,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Team Heretics,Fracture,Team Heretics,10,0,2,1,5,2,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,Breeze,FUT Esports,9,1,2,1,7,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,Breeze,Team Liquid,7,0,2,0,9,1,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,Haven,FUT Esports,10,1,4,0,9,0,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,FUT Esports vs Team Liquid,Haven,Team Liquid,9,0,4,0,10,1,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,Split,PCIFIC Esports,7,1,2,1,8,3,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,Split,FNATIC,8,3,1,1,7,1,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,Lotus,PCIFIC Esports,2,0,2,0,10,3,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 3,PCIFIC Esports vs FNATIC,Lotus,FNATIC,10,3,0,0,2,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Split,Eternal Fire,7,2,0,0,12,1,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Split,PCIFIC Esports,12,1,0,0,7,2,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Fracture,Eternal Fire,11,1,0,1,4,4,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Fracture,PCIFIC Esports,4,4,3,0,11,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Lotus,Eternal Fire,11,0,2,0,8,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Eternal Fire vs PCIFIC Esports,Lotus,PCIFIC Esports,8,1,2,0,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Bind,Natus Vincere,2,0,7,0,5,3,5,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Bind,Team Liquid,5,3,5,0,2,0,7,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Split,Natus Vincere,9,1,3,0,6,0,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Split,Team Liquid,6,0,3,0,9,1,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Lotus,Natus Vincere,7,0,0,0,7,2,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Liquid,Lotus,Team Liquid,7,2,4,0,7,0,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Haven,GIANTX,10,3,0,0,1,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Haven,FNATIC,1,0,2,0,10,3,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Bind,GIANTX,5,1,1,0,8,3,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Bind,FNATIC,8,3,2,0,5,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Breeze,GIANTX,6,0,2,1,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Breeze,FNATIC,11,0,2,0,6,0,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Haven,Karmine Corp,9,2,2,0,6,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Haven,FUT Esports,6,2,1,0,9,2,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,Karmine Corp,7,0,3,0,7,1,4,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,FUT Esports,7,1,4,1,7,0,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Bind,Karmine Corp,6,1,1,0,10,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Bind,FUT Esports,10,2,1,0,6,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Fracture,Gentle Mates,4,0,0,0,8,2,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Fracture,Team Heretics,8,2,3,0,4,0,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Lotus,Gentle Mates,7,2,1,0,8,2,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs Team Heretics,Lotus,Team Heretics,8,2,2,1,7,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Lotus,BBL Esports,4,0,3,1,8,2,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Lotus,Team Vitality,8,2,3,0,4,0,3,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Haven,BBL Esports,7,4,2,0,8,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Haven,Team Vitality,8,0,2,0,7,4,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Breeze,BBL Esports,9,2,1,1,4,1,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 4,BBL Esports vs Team Vitality,Breeze,Team Vitality,4,1,0,0,9,2,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Lotus,Team Heretics,11,1,1,0,6,2,3,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Lotus,FUT Esports,6,2,3,0,11,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Split,Team Heretics,7,4,1,1,1,0,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Heretics vs FUT Esports,Split,FUT Esports,1,0,1,0,7,4,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs PCIFIC Esports,Haven,Team Vitality,6,3,3,1,6,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs PCIFIC Esports,Haven,PCIFIC Esports,6,1,2,0,6,3,3,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs PCIFIC Esports,Split,Team Vitality,10,2,1,0,0,0,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs PCIFIC Esports,Split,PCIFIC Esports,0,0,0,0,10,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Natus Vincere vs Karmine Corp,Lotus,Natus Vincere,11,0,2,0,7,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Natus Vincere vs Karmine Corp,Lotus,Karmine Corp,7,0,2,0,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Natus Vincere vs Karmine Corp,Breeze,Natus Vincere,11,1,1,0,4,3,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Natus Vincere vs Karmine Corp,Breeze,Karmine Corp,4,3,2,0,11,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FNATIC,Haven,BBL Esports,0,0,2,1,10,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FNATIC,Haven,FNATIC,10,1,2,0,0,0,2,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FNATIC,Fracture,BBL Esports,4,1,0,0,11,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FNATIC,Fracture,FNATIC,11,1,1,0,4,1,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Eternal Fire,Split,GIANTX,11,0,0,0,10,2,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Eternal Fire,Split,Eternal Fire,10,2,1,0,11,0,0,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Eternal Fire,Breeze,GIANTX,7,1,2,0,11,0,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Eternal Fire,Breeze,Eternal Fire,11,0,2,0,7,1,2,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs Team Liquid,Split,Gentle Mates,6,1,1,0,11,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs Team Liquid,Split,Team Liquid,11,0,1,1,6,1,1,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs Team Liquid,Lotus,Gentle Mates,7,1,1,0,9,0,4,0
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs Team Liquid,Lotus,Team Liquid,9,0,4,0,7,1,1,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Fracture,Eternal Fire,5,0,2,0,9,1,3,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Fracture,Team Heretics,9,1,3,0,5,0,2,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Pearl,Eternal Fire,9,0,4,0,5,1,1,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Pearl,Team Heretics,5,1,1,1,9,0,4,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Lotus,Eternal Fire,12,1,0,0,2,0,2,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Eternal Fire vs Team Heretics,Lotus,Team Heretics,2,0,2,1,12,1,0,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Pearl,Team Liquid,0,2,0,1,6,0,5,2
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Pearl,Team Vitality,6,0,5,2,0,2,0,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Ascent,Team Liquid,8,2,3,0,10,1,0,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Ascent,Team Vitality,10,1,0,0,8,2,3,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Lotus,Team Liquid,4,3,3,0,9,2,2,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Round 1,Team Liquid vs Team Vitality,Lotus,Team Vitality,9,2,2,0,4,3,3,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,Pearl,FUT Esports,4,0,1,0,9,0,3,1
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,Pearl,Eternal Fire,9,0,3,1,4,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,Ascent,FUT Esports,9,3,1,0,3,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,Ascent,Eternal Fire,3,0,1,0,9,3,1,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,Split,FUT Esports,8,0,5,0,9,0,2,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FUT Esports vs Eternal Fire,Split,Eternal Fire,9,0,2,0,8,0,5,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FNATIC vs Team Vitality,Breeze,FNATIC,3,0,1,0,7,0,6,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FNATIC vs Team Vitality,Breeze,Team Vitality,7,0,6,0,3,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FNATIC vs Team Vitality,Haven,FNATIC,11,1,1,0,10,3,2,0
VCT 2026: EMEA Stage 1,Playoffs,Upper Semifinals,FNATIC vs Team Vitality,Haven,Team Vitality,10,3,2,0,11,1,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Heretics vs BBL Esports,Breeze,Team Heretics,6,1,5,1,4,0,0,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Heretics vs BBL Esports,Breeze,BBL Esports,4,0,0,0,6,1,5,1
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Heretics vs BBL Esports,Ascent,Team Heretics,4,1,8,1,8,0,4,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Heretics vs BBL Esports,Ascent,BBL Esports,8,0,4,0,4,1,8,1
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Split,Team Liquid,12,0,1,0,3,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Split,Gentle Mates,3,0,1,0,12,0,1,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Ascent,Team Liquid,6,1,3,0,11,2,0,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Ascent,Gentle Mates,11,2,0,0,6,1,3,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Fracture,Team Liquid,2,0,0,0,10,0,3,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 1,Team Liquid vs Gentle Mates,Fracture,Gentle Mates,10,0,3,0,2,0,0,0
VCT 2026: EMEA Stage 1,Playoffs,Lower Round 2,FNATIC vs Team Heretics,Fracture,FNATIC,9,0,4,0,7,1,2,0
