Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,10,Sentinels,,14.9k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,10,KRÜ Esports,,7.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,11,Sentinels,,7.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,11,KRÜ Esports,,11.4k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,12,Sentinels,,1.3k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,12,KRÜ Esports,,14.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,13,Sentinels,,0.0k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,13,KRÜ Esports,,0.1k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,14,Sentinels,,7.8k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,14,KRÜ Esports,,5.3k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,15,Sentinels,,1.5k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,15,KRÜ Esports,,15.7k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,16,Sentinels,,3.2k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,16,KRÜ Esports,,4.8k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,17,Sentinels,,8.6k,Semi-eco: 5-10k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,17,KRÜ Esports,,9.3k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,18,Sentinels,,5.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,18,KRÜ Esports,,3.0k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,19,Sentinels,,15.3k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,19,KRÜ Esports,,7.4k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,20,Sentinels,,3.6k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,20,KRÜ Esports,,11.7k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,21,Sentinels,,10.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,21,KRÜ Esports,,10.1k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,22,Sentinels,,0.8k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,22,KRÜ Esports,,3.6k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,1,G2 Esports,,0.4k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,1,MIBR,,0.2k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,2,G2 Esports,,5.5k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,2,MIBR,,7.5k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,3,G2 Esports,,14.4k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,3,MIBR,,0.6k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,4,G2 Esports,,2.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,4,MIBR,,6.1k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,5,G2 Esports,,8.5k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,5,MIBR,,9.5k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,6,G2 Esports,,14.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,6,MIBR,,1.4k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,7,G2 Esports,,4.7k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,7,MIBR,,3.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,8,G2 Esports,,7.2k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,8,MIBR,,10.3k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,9,G2 Esports,,1.1k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,9,MIBR,,14.8k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,10,G2 Esports,,6.9k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,10,MIBR,,3.9k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,11,G2 Esports,,7.8k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,11,MIBR,,5.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,12,G2 Esports,,0.5k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,12,MIBR,,2.8k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,13,G2 Esports,,0.2k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,13,MIBR,,0.2k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,14,G2 Esports,,7.6k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,14,MIBR,,4.1k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,15,G2 Esports,,1.6k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,15,MIBR,,12.7k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,16,G2 Esports,,10.6k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,16,MIBR,,5.0k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,17,G2 Esports,,1.0k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,17,MIBR,,7.4k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,18,G2 Esports,,6.4k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,18,MIBR,,10.9k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,19,G2 Esports,,0.6k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,19,MIBR,,13.2k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,20,G2 Esports,,3.8k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,20,MIBR,,3.4k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,21,G2 Esports,,0.8k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,21,MIBR,,6.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,1,G2 Esports,,0.3k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,1,MIBR,,0.3k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,2,G2 Esports,,0.4k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,2,MIBR,,1.4k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,3,G2 Esports,,5.6k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,3,MIBR,,13.1k,Semi-buy: 10-20k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,4,G2 Esports,,1.2k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,4,MIBR,,15.5k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,5,G2 Esports,,15.1k,Full buy: 20k+,Win
