Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,Eco (won),6,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,$$ (won),6,6
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,$$$ (won),26,16
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,Eco (won),7,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,$ (won),3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,$$ (won),12,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,$$$ (won),16,6
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,Eco (won),3,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,$$ (won),6,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,$$$ (won),12,8
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,Pistol Won,,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,Eco (won),4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,$ (won),2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,$$ (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,$$$ (won),13,7
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,Eco (won),5,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,$ (won),1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,$$ (won),6,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,$$$ (won),12,6
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,Eco (won),3,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,$ (won),2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,$$ (won),6,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,$$$ (won),13,8
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,Eco (won),4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,$ (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,$$ (won),4,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,$$$ (won),10,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,LOUD,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,LOUD,Eco (won),3,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,LOUD,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,LOUD,$$ (won),5,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,LOUD,$$$ (won),12,7
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,Pistol Won,,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,Eco (won),12,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,$ (won),5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,$$ (won),16,9
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,$$$ (won),34,17
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,Eco (won),10,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,$ (won),5,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,$$ (won),14,8
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,$$$ (won),38,22
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,Pistol Won,,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,Eco (won),4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,$$ (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,$$$ (won),11,5
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,LEVIATÁN,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,LEVIATÁN,Eco (won),2,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,LEVIATÁN,$ (won),1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,LEVIATÁN,$$ (won),6,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,LEVIATÁN,$$$ (won),10,6
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,Pistol Won,,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,Eco (won),4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,$$ (won),6,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,$$$ (won),8,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,LEVIATÁN,Pistol Won,,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,LEVIATÁN,Eco (won),2,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,LEVIATÁN,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,LEVIATÁN,$$ (won),4,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,LEVIATÁN,$$$ (won),12,7
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,Cloud9,Pistol Won,,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,Cloud9,Eco (won),8,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,Cloud9,$ (won),1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,Cloud9,$$ (won),9,4
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,Cloud9,$$$ (won),19,7
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,All Maps,LEVIATÁN,Pistol Won,,4
