Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,0,Paper Rex won
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Kiwoom DRX,Gen.G,Kiwoom DRX,1,2,Kiwoom DRX won
VCT 2026: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs VARREL,DetonatioN FocusMe,VARREL,2,1,DetonatioN FocusMe won
VCT 2026: Pacific Stage 1,Group Stage,Week 4,T1 vs ZETA DIVISION,T1,ZETA DIVISION,2,0,T1 won
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Nongshim RedForce,Team Secret,2,1,Nongshim RedForce won
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Gen.G vs Team Secret,Gen.G,Team Secret,1,2,Team Secret won
VCT 2026: Pacific Stage 1,Group Stage,Week 5,VARREL vs ZETA DIVISION,VARREL,ZETA DIVISION,1,2,ZETA DIVISION won
VCT 2026: Pacific Stage 1,Group Stage,Week 5,T1 vs FULL SENSE,T1,FULL SENSE,2,1,T1 won
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs Global Esports,Nongshim RedForce,Global Esports,1,2,Global Esports won
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Kiwoom DRX,Paper Rex,Kiwoom DRX,2,0,Paper Rex won
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,2,1,Rex Regum Qeon won
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Rex Regum Qeon vs Global Esports,Rex Regum Qeon,Global Esports,0,2,Global Esports won
VCT 2026: Pacific Stage 1,Playoffs,Upper Round 1,Kiwoom DRX vs FULL SENSE,Kiwoom DRX,FULL SENSE,0,2,FULL SENSE won
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,Paper Rex vs Global Esports,Paper Rex,Global Esports,1,2,Global Esports won
VCT 2026: Pacific Stage 1,Playoffs,Upper Semifinals,T1 vs FULL SENSE,T1,FULL SENSE,0,2,FULL SENSE won
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,2,1,Rex Regum Qeon won
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 1,Kiwoom DRX vs Nongshim RedForce,Kiwoom DRX,Nongshim RedForce,2,1,Kiwoom DRX won
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,T1 vs Rex Regum Qeon,T1,Rex Regum Qeon,2,1,T1 won
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Paper Rex vs Kiwoom DRX,Paper Rex,Kiwoom DRX,2,1,Paper Rex won
VCT 2026: Pacific Stage 1,Playoffs,Upper Final,Global Esports vs FULL SENSE,Global Esports,FULL SENSE,0,2,FULL SENSE won
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 3,T1 vs Paper Rex,T1,Paper Rex,1,2,Paper Rex won
VCT 2026: Pacific Stage 1,Playoffs,Lower Final,Global Esports vs Paper Rex,Global Esports,Paper Rex,0,3,Paper Rex won
VCT 2026: Pacific Stage 1,Playoffs,Grand Final,FULL SENSE vs Paper Rex,FULL SENSE,Paper Rex,0,3,Paper Rex won
VCT 2026: China Stage 1,Group Stage,Week 1,Titan Esports Club vs All Gamers,Titan Esports Club,All Gamers,1,2,All Gamers won
VCT 2026: China Stage 1,Group Stage,Week 1,Nova Esports vs EDward Gaming,Nova Esports,EDward Gaming,0,2,EDward Gaming won
VCT 2026: China Stage 1,Group Stage,Week 1,JDG Esports vs FunPlus Phoenix,JDG Esports,FunPlus Phoenix,2,1,JDG Esports won
VCT 2026: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Xi Lai Gaming,Dragon Ranger Gaming,Xi Lai Gaming,0,2,Xi Lai Gaming won
VCT 2026: China Stage 1,Group Stage,Week 1,Wolves Esports vs Trace Esports,Wolves Esports,Trace Esports,0,2,Trace Esports won
VCT 2026: China Stage 1,Group Stage,Week 1,Bilibili Gaming vs TYLOO,Bilibili Gaming,TYLOO,1,2,TYLOO won
VCT 2026: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,Nova Esports,2,0,Dragon Ranger Gaming won
VCT 2026: China Stage 1,Group Stage,Week 1,FunPlus Phoenix vs All Gamers,FunPlus Phoenix,All Gamers,2,0,FunPlus Phoenix won
VCT 2026: China Stage 1,Group Stage,Week 1,TYLOO vs Titan Esports Club,TYLOO,Titan Esports Club,2,0,TYLOO won
VCT 2026: China Stage 1,Group Stage,Week 1,Wolves Esports vs EDward Gaming,Wolves Esports,EDward Gaming,0,2,EDward Gaming won
VCT 2026: China Stage 1,Group Stage,Week 1,Trace Esports vs Xi Lai Gaming,Trace Esports,Xi Lai Gaming,1,2,Xi Lai Gaming won
VCT 2026: China Stage 1,Group Stage,Week 1,Bilibili Gaming vs JDG Esports,Bilibili Gaming,JDG Esports,2,0,Bilibili Gaming won
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,FunPlus Phoenix,TYLOO,2,1,FunPlus Phoenix won
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Titan Esports Club,Bilibili Gaming,2,0,Titan Esports Club won
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Xi Lai Gaming,Nova Esports,2,0,Xi Lai Gaming won
