Tournament,Stage,Match Type,Match Name,Team,Action,Map
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,100 Thieves,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Mega Minors,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,100 Thieves,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Evil Geniuses,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Sentinels,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Evil Geniuses,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Sentinels,pick,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Evil Geniuses,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Sentinels,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Cloud9,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,MIBR,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Cloud9,pick,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,MIBR,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Cloud9,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,MIBR,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Evil Geniuses,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Mega Minors,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Evil Geniuses,pick,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Mega Minors,pick,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Evil Geniuses,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Mega Minors,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,MIBR,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,LEVIATÁN,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,MIBR,pick,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,LEVIATÁN,pick,Haven
