Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Rb,omen,4,,,,,,,,,48,3,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Dambi,neon,2,,1,,,,,,,44,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Francis,yoru,1,2,,,,,,,,59,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Ivy,viper,,1,1,1,,,,,,78,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Nongshim RedForce,Xross,fade,2,1,,,,,,,,64,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,Jinggg,raze,1,1,,,,1,,,,36,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,invy,fade,3,,,,,,,,,52,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,f0rsakeN,omen,1,2,,,,,,,,76,2,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,d4v41,viper,1,1,,,,,,,,45,1,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Split,Paper Rex,something,yoru,,,,,,,,,,12,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Rb,omen,1,,,,,,,,,37,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Dambi,waylay,2,1,,,,,,,,50,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Francis,yoru,5,1,,,,,,,,81,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Ivy,cypher,3,,,,1,,,,,58,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Nongshim RedForce,Xross,sova,3,2,,,2,,,,,156,4,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,Jinggg,omen,1,,,,,,,,,51,0,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,invy,sova,1,,,,,,,,,30,4,0
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Abyss,Paper Rex,f0rsakeN,waylay,1,,,,,,,,,25,0,1
