Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,21,FunPlus Phoenix,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,22,TYLOO,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,22,FunPlus Phoenix,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,23,TYLOO,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,23,FunPlus Phoenix,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,24,FunPlus Phoenix,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,FunPlus Phoenix vs TYLOO,Pearl,24,TYLOO,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,1,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,1,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,2,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,2,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,3,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,3,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,4,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,4,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,5,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,5,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,6,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,6,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,7,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,7,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,8,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,8,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,9,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,9,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,10,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,10,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,11,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,11,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,12,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,12,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,13,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,13,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,14,Bilibili Gaming,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,14,Titan Esports Club,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,15,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,15,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,16,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,16,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,17,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,17,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,18,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,18,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,19,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,19,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,20,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,20,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,21,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,21,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,22,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,22,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,23,Titan Esports Club,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Fracture,23,Bilibili Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,1,Titan Esports Club,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,1,Bilibili Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,2,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,2,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,3,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,3,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,4,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,4,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,5,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,5,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,6,Titan Esports Club,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,6,Bilibili Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,7,Bilibili Gaming,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,7,Titan Esports Club,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,8,Titan Esports Club,Time Expiry (No Plant),Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,8,Bilibili Gaming,Time Expiry (Failed to Plant),Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,9,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,9,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,10,Titan Esports Club,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,10,Bilibili Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,11,Titan Esports Club,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,11,Bilibili Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,12,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,12,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,13,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,13,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,14,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,14,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,15,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,15,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,16,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,16,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,17,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,17,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,18,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,18,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,19,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,19,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,20,Bilibili Gaming,Time Expiry (No Plant),Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,20,Titan Esports Club,Time Expiry (Failed to Plant),Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,21,Bilibili Gaming,Time Expiry (No Plant),Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,21,Titan Esports Club,Time Expiry (Failed to Plant),Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,22,Bilibili Gaming,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,22,Titan Esports Club,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,23,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,23,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,24,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,24,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,25,Bilibili Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,25,Titan Esports Club,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,26,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,26,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,27,Titan Esports Club,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,27,Bilibili Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,28,Titan Esports Club,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Bilibili Gaming,Breeze,28,Bilibili Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,1,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,1,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,2,Xi Lai Gaming,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,2,Nova Esports,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,3,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,3,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,4,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,4,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,5,Nova Esports,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,5,Xi Lai Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,6,Nova Esports,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,6,Xi Lai Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,7,Xi Lai Gaming,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,7,Nova Esports,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,8,Nova Esports,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,8,Xi Lai Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,9,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,9,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,10,Xi Lai Gaming,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,10,Nova Esports,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,11,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,11,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,12,Nova Esports,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,12,Xi Lai Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,13,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,13,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,14,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,14,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,15,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,15,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,16,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,16,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,17,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,17,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,18,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,18,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,19,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,19,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,20,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,20,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,21,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Haven,21,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,1,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,1,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,2,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,2,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,3,Xi Lai Gaming,Time Expiry (No Plant),Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,3,Nova Esports,Time Expiry (Failed to Plant),Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,4,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,4,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,5,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,5,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,6,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,6,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,7,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,7,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,8,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,8,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,9,Nova Esports,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,9,Xi Lai Gaming,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,10,Nova Esports,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,10,Xi Lai Gaming,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,11,Xi Lai Gaming,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,11,Nova Esports,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,12,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,12,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,13,Nova Esports,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,13,Xi Lai Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,14,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,14,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,15,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,15,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,16,Nova Esports,Defused,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,16,Xi Lai Gaming,Detonated Denied,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,17,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,17,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,18,Xi Lai Gaming,Detonated,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,18,Nova Esports,Failed Defused,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,19,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,19,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,20,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,20,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,21,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,21,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,22,Nova Esports,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,22,Xi Lai Gaming,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,23,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,23,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,24,Xi Lai Gaming,Elimination,Win
VCT 2026: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs Nova Esports,Bind,24,Nova Esports,Eliminated,Loss
VCT 2026: China Stage 1,Group Stage,Week 2,EDward Gaming vs Trace Esports,Lotus,1,EDward Gaming,Elimination,Win
