Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs LOUD,Breeze,100 Thieves,13,9,4,,LOUD,5,2,3,,45:51
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs LOUD,Split,100 Thieves,13,8,5,,LOUD,4,0,4,,35:11
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs NRG,Breeze,KRÜ Esports,8,4,4,,Mega Minors,13,5,8,,53:51
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs NRG,Haven,KRÜ Esports,4,1,3,,Mega Minors,13,2,11,,35:53
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,Fracture,MIBR,11,5,6,,100 Thieves,13,6,7,,58:16
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,MIBR vs 100 Thieves,Breeze,MIBR,7,3,4,,100 Thieves,13,4,9,,41:49
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Ascent,LEVIATÁN,13,6,7,,G2 Esports,7,1,6,,52:49
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Pearl,LEVIATÁN,9,7,2,,G2 Esports,13,8,5,,50:07
VCT 2026: Americas Stage 1,Playoffs,Upper Final,LEVIATÁN vs G2 Esports,Split,LEVIATÁN,13,7,6,,G2 Esports,5,0,5,,37:42
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Fracture,Mega Minors,13,8,5,,100 Thieves,9,5,4,,57:15
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,NRG vs 100 Thieves,Breeze,Mega Minors,13,7,6,,100 Thieves,11,6,5,,51:43
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Lotus,G2 Esports,13,8,5,,Mega Minors,8,4,4,,1:10:25
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Breeze,G2 Esports,6,6,0,,Mega Minors,13,7,6,,43:59
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Pearl,G2 Esports,13,8,5,,Mega Minors,7,3,4,,45:40
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Haven,G2 Esports,10,6,4,,Mega Minors,13,7,6,,58:57
VCT 2026: Americas Stage 1,Playoffs,Lower Final,G2 Esports vs NRG,Ascent,G2 Esports,13,5,8,,Mega Minors,10,3,7,,55:09
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Fracture,LEVIATÁN,12,6,6,0,G2 Esports,14,6,6,2,1:08:29
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Haven,LEVIATÁN,13,6,7,,G2 Esports,11,5,6,,53:19
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Ascent,LEVIATÁN,13,7,6,,G2 Esports,9,4,5,,49:12
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Pearl,LEVIATÁN,10,3,7,,G2 Esports,13,4,9,,54:48
VCT 2026: Americas Stage 1,Playoffs,Grand Final,LEVIATÁN vs G2 Esports,Split,LEVIATÁN,11,7,4,,G2 Esports,13,8,5,,1:01:25
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Breeze,FNATIC,14,3,9,2,Eternal Fire,12,3,9,0,53:19
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Bind,FNATIC,15,4,8,3,Eternal Fire,17,4,8,5,1:04:50
VCT 2026: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Eternal Fire,Lotus,FNATIC,13,10,3,,Eternal Fire,2,0,2,,31:06
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Karmine Corp,Haven,Team Liquid,13,7,6,,Karmine Corp,10,5,5,,54:33
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Karmine Corp,Pearl,Team Liquid,13,9,4,,Karmine Corp,7,4,3,,47:39
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Haven,Team Vitality,13,6,7,,GIANTX,8,2,6,,43:10
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Pearl,Team Vitality,13,10,3,,GIANTX,3,1,2,,33:49
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Pearl,Gentle Mates,13,9,4,,FUT Esports,10,7,3,,55:26
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Bind,Gentle Mates,8,6,2,,FUT Esports,13,7,6,,46:00
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Gentle Mates vs FUT Esports,Haven,Gentle Mates,6,4,2,,FUT Esports,13,5,8,,41:27
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Natus Vincere,Pearl,Team Heretics,13,8,5,,Natus Vincere,9,5,4,,1:14:49
