Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Karmine Corp,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Karmine Corp,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Karmine Corp,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Karmine Corp,waylay,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Heretics,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Heretics,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Heretics,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Heretics,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Heretics,vyse,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Gentle Mates,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Gentle Mates,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Gentle Mates,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Gentle Mates,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Gentle Mates,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Natus Vincere,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Natus Vincere,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Natus Vincere,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Natus Vincere,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Natus Vincere,chamber,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Eternal Fire,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Eternal Fire,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Eternal Fire,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Eternal Fire,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Eternal Fire,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Vitality,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Vitality,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Vitality,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Vitality,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,Team Vitality,killjoy,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,PCIFIC Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,PCIFIC Esports,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,PCIFIC Esports,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,PCIFIC Esports,veto,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,PCIFIC Esports,sage,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,FNATIC,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,FNATIC,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,FNATIC,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,FNATIC,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,FNATIC,killjoy,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,BBL Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,BBL Esports,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,BBL Esports,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,BBL Esports,astra,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,BBL Esports,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,GIANTX,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,GIANTX,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,GIANTX,astra,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,GIANTX,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,GIANTX,waylay,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,PCIFIC Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,PCIFIC Esports,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,PCIFIC Esports,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,PCIFIC Esports,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,PCIFIC Esports,astra,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,FNATIC,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,FNATIC,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,FNATIC,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,FNATIC,astra,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,FNATIC,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Gentle Mates,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Gentle Mates,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Gentle Mates,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Gentle Mates,astra,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Gentle Mates,phoenix,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Natus Vincere,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Natus Vincere,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Natus Vincere,astra,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Natus Vincere,chamber,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Pearl,Natus Vincere,tejo,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Eternal Fire,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Eternal Fire,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Eternal Fire,vyse,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Eternal Fire,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Eternal Fire,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Team Vitality,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Team Vitality,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Team Vitality,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Team Vitality,phoenix,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,Team Vitality,brimstone,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Karmine Corp,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Karmine Corp,astra,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Karmine Corp,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Karmine Corp,waylay,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Karmine Corp,kayo,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Team Heretics,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Team Heretics,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Team Heretics,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Team Heretics,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Fracture,Team Heretics,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,FUT Esports,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,FUT Esports,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,FUT Esports,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,FUT Esports,sova,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,FUT Esports,jett,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,Team Liquid,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,Team Liquid,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,Team Liquid,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,Team Liquid,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Breeze,Team Liquid,kayo,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Eternal Fire,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Eternal Fire,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Eternal Fire,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Eternal Fire,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Eternal Fire,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,PCIFIC Esports,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,PCIFIC Esports,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,PCIFIC Esports,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,PCIFIC Esports,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,PCIFIC Esports,astra,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Natus Vincere,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Natus Vincere,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Natus Vincere,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Natus Vincere,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Natus Vincere,vyse,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Team Liquid,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Team Liquid,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Team Liquid,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Team Liquid,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Split,Team Liquid,astra,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Eternal Fire,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Eternal Fire,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Eternal Fire,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Eternal Fire,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Eternal Fire,tejo,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,PCIFIC Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,PCIFIC Esports,skye,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,PCIFIC Esports,astra,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,PCIFIC Esports,tejo,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,PCIFIC Esports,veto,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Gentle Mates,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Gentle Mates,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Gentle Mates,brimstone,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Gentle Mates,breach,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Gentle Mates,veto,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Team Heretics,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Team Heretics,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Team Heretics,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Team Heretics,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Fracture,Team Heretics,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Eternal Fire,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Eternal Fire,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Eternal Fire,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Eternal Fire,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Eternal Fire,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,PCIFIC Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,PCIFIC Esports,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,PCIFIC Esports,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,PCIFIC Esports,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,PCIFIC Esports,deadlock,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Natus Vincere,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Natus Vincere,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Natus Vincere,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Natus Vincere,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Natus Vincere,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Liquid,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Liquid,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Liquid,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Liquid,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Liquid,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Karmine Corp,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Karmine Corp,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Karmine Corp,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Karmine Corp,cypher,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Karmine Corp,phoenix,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,FUT Esports,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,FUT Esports,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,FUT Esports,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,FUT Esports,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,FUT Esports,chamber,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,BBL Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,BBL Esports,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,BBL Esports,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,BBL Esports,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,BBL Esports,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Vitality,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Vitality,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Vitality,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Vitality,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Vitality,vyse,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Gentle Mates,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Gentle Mates,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Gentle Mates,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Gentle Mates,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Gentle Mates,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Heretics,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Heretics,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Heretics,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Heretics,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Lotus,Team Heretics,vyse,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Natus Vincere,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Natus Vincere,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Natus Vincere,brimstone,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Natus Vincere,skye,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Natus Vincere,vyse,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Team Liquid,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Team Liquid,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Team Liquid,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Team Liquid,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Team Liquid,phoenix,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,GIANTX,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,GIANTX,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,GIANTX,brimstone,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,GIANTX,skye,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,GIANTX,tejo,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FNATIC,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FNATIC,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FNATIC,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FNATIC,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FNATIC,waylay,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Karmine Corp,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Karmine Corp,raze,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Karmine Corp,brimstone,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Karmine Corp,skye,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,Karmine Corp,gekko,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FUT Esports,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FUT Esports,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FUT Esports,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FUT Esports,brimstone,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Bind,FUT Esports,skye,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,GIANTX,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,GIANTX,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,GIANTX,sova,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,GIANTX,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,GIANTX,phoenix,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FNATIC,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FNATIC,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FNATIC,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FNATIC,cypher,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FNATIC,phoenix,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Karmine Corp,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Karmine Corp,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Karmine Corp,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Karmine Corp,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Karmine Corp,phoenix,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FUT Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FUT Esports,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FUT Esports,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FUT Esports,cypher,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,FUT Esports,phoenix,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,BBL Esports,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,BBL Esports,sova,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,BBL Esports,cypher,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,BBL Esports,jett,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,BBL Esports,breach,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Team Vitality,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Team Vitality,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Team Vitality,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Team Vitality,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Haven,Team Vitality,killjoy,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,GIANTX,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,GIANTX,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,GIANTX,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,GIANTX,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,GIANTX,skye,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,FNATIC,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,FNATIC,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,FNATIC,sova,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,FNATIC,kayo,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,FNATIC,harbor,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,BBL Esports,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,BBL Esports,viper,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,BBL Esports,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,BBL Esports,sova,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,BBL Esports,jett,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,Team Vitality,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,Team Vitality,sova,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,Team Vitality,jett,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,Team Vitality,kayo,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 4,Breeze,Team Vitality,harbor,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Team Heretics,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Team Heretics,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Team Heretics,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Team Heretics,raze,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Team Heretics,vyse,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,FUT Esports,neon,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,FUT Esports,omen,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,FUT Esports,viper,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,FUT Esports,fade,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,FUT Esports,waylay,0,1,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Natus Vincere,neon,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Natus Vincere,omen,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Natus Vincere,fade,1,0,1
VCT 2026: EMEA Stage 1,Group Stage,Week 5,Lotus,Natus Vincere,raze,1,0,1
