Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,All Maps,6,51%,49%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Breeze,2,50%,50%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Ascent,1,62%,38%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Haven,1,53%,47%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Lotus,1,26%,74%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 2,Split,1,79%,21%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 3,All Maps,3,62%,38%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 3,Ascent,1,52%,48%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 3,Breeze,1,67%,33%
VCT 2026: Pacific Stage 1,Playoffs,Lower Round 3,Split,1,68%,32%
VCT 2026: Pacific Stage 1,Playoffs,Lower Final,All Maps,3,50%,50%
VCT 2026: Pacific Stage 1,Playoffs,Lower Final,Haven,1,37%,63%
VCT 2026: Pacific Stage 1,Playoffs,Lower Final,Ascent,1,54%,46%
VCT 2026: Pacific Stage 1,Playoffs,Lower Final,Lotus,1,59%,41%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,All Maps,14,57%,43%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Fracture,3,55%,45%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Pearl,3,57%,43%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Split,3,45%,55%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Bind,2,57%,43%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Haven,2,71%,29%
VCT 2026: Pacific Stage 1,Group Stage,Week 1,Lotus,1,68%,32%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,All Maps,14,53%,47%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Lotus,4,50%,50%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Fracture,3,58%,42%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Split,3,58%,42%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Haven,2,40%,60%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Bind,1,71%,29%
VCT 2026: Pacific Stage 1,Group Stage,Week 2,Pearl,1,50%,50%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,All Maps,13,49%,51%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Pearl,3,52%,48%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Bind,2,48%,52%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Breeze,2,42%,58%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Haven,2,45%,55%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Lotus,2,57%,43%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Fracture,1,67%,33%
VCT 2026: Pacific Stage 1,Group Stage,Week 3,Split,1,25%,75%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,All Maps,16,51%,49%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Haven,4,48%,52%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Pearl,4,43%,57%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Fracture,3,69%,31%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Lotus,3,50%,50%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Breeze,1,62%,38%
VCT 2026: Pacific Stage 1,Group Stage,Week 4,Split,1,31%,69%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,All Maps,17,49%,51%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Breeze,5,39%,61%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Bind,3,61%,39%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Lotus,3,45%,55%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Fracture,2,56%,44%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Haven,2,63%,38%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Pearl,1,50%,50%
VCT 2026: Pacific Stage 1,Group Stage,Week 5,Split,1,29%,71%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,All Maps,106,53%,47%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Lotus,20,52%,48%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Pearl,17,49%,51%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Haven,15,54%,46%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Breeze,15,49%,51%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Fracture,14,60%,40%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Split,13,48%,52%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Bind,8,58%,42%
VCT 2026: Pacific Stage 1,All Stages,All Match Types,Ascent,4,57%,43%
