Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 2,MIBR vs 100 Thieves,660378,Fracture,265451
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 2,MIBR vs 100 Thieves,660378,Breeze,265452
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Final,LEVIATÁN vs G2 Esports,660373,Ascent,265434
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Final,LEVIATÁN vs G2 Esports,660373,Pearl,265435
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Final,LEVIATÁN vs G2 Esports,660373,Split,265436
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 3,NRG vs 100 Thieves,660379,Fracture,265454
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 3,NRG vs 100 Thieves,660379,Breeze,265455
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Final,G2 Esports vs NRG,660380,Lotus,265457
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Final,G2 Esports vs NRG,660380,Breeze,265458
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Final,G2 Esports vs NRG,660380,Pearl,265459
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Final,G2 Esports vs NRG,660380,Haven,265460
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Final,G2 Esports vs NRG,660380,Ascent,265461
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Grand Final,LEVIATÁN vs G2 Esports,660374,Fracture,265437
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Grand Final,LEVIATÁN vs G2 Esports,660374,Haven,265438
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Grand Final,LEVIATÁN vs G2 Esports,660374,Ascent,265439
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Grand Final,LEVIATÁN vs G2 Esports,660374,Pearl,265440
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Grand Final,LEVIATÁN vs G2 Esports,660374,Split,265441
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,FNATIC vs Eternal Fire,644709,Breeze,258339
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,FNATIC vs Eternal Fire,644709,Bind,258340
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,FNATIC vs Eternal Fire,644709,Lotus,258341
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Liquid vs Karmine Corp,644710,Haven,258342
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Liquid vs Karmine Corp,644710,Pearl,258343
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Vitality vs GIANTX,644711,Haven,258345
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Vitality vs GIANTX,644711,Pearl,258346
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Gentle Mates vs FUT Esports,644712,Pearl,258348
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Gentle Mates vs FUT Esports,644712,Bind,258349
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Gentle Mates vs FUT Esports,644712,Haven,258350
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Heretics vs Natus Vincere,644713,Pearl,258351
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Heretics vs Natus Vincere,644713,Lotus,258352
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,Team Heretics vs Natus Vincere,644713,Bind,258353
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,BBL Esports vs PCIFIC Esports,644714,Split,258354
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,BBL Esports vs PCIFIC Esports,644714,Breeze,258355
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,PCIFIC Esports vs GIANTX,644716,Haven,258357
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,PCIFIC Esports vs GIANTX,644716,Pearl,258358
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,PCIFIC Esports vs GIANTX,644716,Split,258359
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,BBL Esports vs Eternal Fire,644717,Pearl,258360
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,BBL Esports vs Eternal Fire,644717,Split,258361
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,FNATIC vs Team Vitality,644718,Split,258363
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,FNATIC vs Team Vitality,644718,Breeze,258364
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,Team Liquid vs Team Heretics,644719,Pearl,258366
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,Team Liquid vs Team Heretics,644719,Bind,258367
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,FUT Esports vs Natus Vincere,644720,Fracture,258369
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,FUT Esports vs Natus Vincere,644720,Bind,258370
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,FUT Esports vs Natus Vincere,644720,Split,258371
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,Gentle Mates vs Karmine Corp,644721,Fracture,258372
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,Gentle Mates vs Karmine Corp,644721,Haven,258373
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,Gentle Mates vs Karmine Corp,644721,Pearl,258374
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,BBL Esports vs GIANTX,644722,Haven,258375
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,BBL Esports vs GIANTX,644722,Lotus,258376
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,BBL Esports vs GIANTX,644722,Split,264326
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Gentle Mates vs Natus Vincere,644723,Pearl,258378
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Gentle Mates vs Natus Vincere,644723,Lotus,258379
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Eternal Fire vs Team Vitality,644724,Bind,258381
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Eternal Fire vs Team Vitality,644724,Lotus,258382
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Karmine Corp vs Team Heretics,644725,Haven,258384
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Karmine Corp vs Team Heretics,644725,Lotus,258385
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,Karmine Corp vs Team Heretics,644725,Fracture,258386
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,FUT Esports vs Team Liquid,644726,Breeze,258387
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,FUT Esports vs Team Liquid,644726,Haven,258388
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,PCIFIC Esports vs FNATIC,644727,Split,258390
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,PCIFIC Esports vs FNATIC,644727,Lotus,258391
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Eternal Fire vs PCIFIC Esports,644728,Split,258393
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Eternal Fire vs PCIFIC Esports,644728,Fracture,258394
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Eternal Fire vs PCIFIC Esports,644728,Lotus,258395
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Natus Vincere vs Team Liquid,644729,Bind,258396
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Natus Vincere vs Team Liquid,644729,Split,258397
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Natus Vincere vs Team Liquid,644729,Lotus,258398
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,GIANTX vs FNATIC,644730,Haven,258399
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,GIANTX vs FNATIC,644730,Bind,258400
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,GIANTX vs FNATIC,644730,Breeze,258401
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Karmine Corp vs FUT Esports,644731,Haven,258402
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,Karmine Corp vs FUT Esports,644731,Lotus,258403
